datetime,Seattle
2013-11-17,280.47881249999995
2013-11-18,281.61333333333334
2013-11-19,281.5225
2013-11-20,276.37920833333317
2013-11-21,276.8113333333332
2013-11-22,275.60833333333323
2013-11-23,276.8374999999999
2013-11-24,276.4758333333333
2013-11-25,275.4115
2013-11-26,276.7166666666667
2013-11-27,281.5441666666666
2013-11-28,277.86187499999994
2013-11-29,278.20627083333335
2013-11-30,280.59375000000006
2013-12-01,282.76666666666665
2013-12-02,278.9754166666666
2013-12-03,274.99666666666667
2013-12-04,272.1516666666667
2013-12-05,269.61083333333335
2013-12-06,270.8022916666667
2013-12-07,268.8772916666667
2013-12-08,267.73812499999997
2013-12-09,268.40283333333326
2013-12-10,273.06083333333333
2013-12-11,273.4489583333334
2013-12-12,274.1486874999999
2013-12-13,278.57666666666654
2013-12-14,280.2041666666666
2013-12-15,280.98166666666657
2013-12-16,280.3773958333334
2013-12-17,277.300625
2013-12-18,278.60145833333337
2013-12-19,277.21735416666667
2013-12-20,273.5827083333334
2013-12-21,277.44416666666666
2013-12-22,279.89125
2013-12-23,282.0968749999999
2013-12-24,278.440625
2013-12-25,275.00916666666666
2013-12-26,275.41374999999994
2013-12-27,275.82249999999993
2013-12-28,279.0431875
2013-12-29,276.76666666666665
2013-12-30,277.24000000000007
2013-12-31,279.17379166666666
2014-01-01,277.59833333333336
2014-01-02,279.85302083333335
2014-01-03,278.893125
2014-01-04,275.9283304416667
2014-01-05,274.00624999999997
2014-01-06,274.92250000000007
2014-01-07,277.93208333333337
2014-01-08,280.3505208333333
2014-01-09,279.5320833333333
2014-01-10,280.64687499999997
2014-01-11,281.35075000000006
2014-01-12,279.2672916666667
2014-01-13,282.5104166666667
2014-01-14,281.79999999999995
2014-01-15,280.15270775416667
2014-01-16,278.19
2014-01-17,284.66467522083343
2014-01-18,287.3050799791668
2014-01-19,281.19458333333336
2014-01-20,277.1837500000001
2014-01-21,276.2858333333334
2014-01-22,279.45041666666674
2014-01-23,278.620625
2014-01-24,277.2166496
2014-01-25,277.25374999999997
2014-01-26,276.55333333333334
2014-01-27,275.53291666666667
2014-01-28,278.77500000000003
2014-01-29,280.5841666666666
2014-01-30,279.26416666666665
2014-01-31,278.0779166666667
2014-02-01,276.9854166666667
2014-02-02,275.36791666666664
2014-02-03,275.14458333333334
2014-02-04,272.3116666666667
2014-02-05,270.0266666666667
2014-02-06,267.65124999999995
2014-02-07,270.0491666666667
2014-02-08,272.715
2014-02-09,273.2970833333333
2014-02-10,276.14625
2014-02-11,280.54333333333324
2014-02-12,281.74125
2014-02-13,281.7575
2014-02-14,281.29583333333335
2014-02-15,278.86375000000004
2014-02-16,278.70374999999996
2014-02-17,279.0054166666667
2014-02-18,279.23999999999995
2014-02-19,277.9083333333333
2014-02-20,279.49541666666664
2014-02-21,278.43541666666664
2014-02-22,276.6908333333333
2014-02-23,278.06041666666664
2014-02-24,276.7416666666666
2014-02-25,278.37208333333325
2014-02-26,280.4595833333333
2014-02-27,281.04166666666663
2014-02-28,281.7133333333333
2014-03-01,279.49666666666667
2014-03-02,277.8
2014-03-03,282.1258333333334
2014-03-04,282.887125
2014-03-05,284.57987499999996
2014-03-06,284.7362499999999
2014-03-07,283.2766666666667
2014-03-08,281.8220833333333
2014-03-09,284.4516666666667
2014-03-10,282.3175
2014-03-11,280.3183333333333
2014-03-12,281.2529166666667
2014-03-13,281.81541666666664
2014-03-14,284.01541666666657
2014-03-15,282.29541666666665
2014-03-16,282.7170833333334
2014-03-17,278.6241666666667
2014-03-18,278.71875
2014-03-19,280.8633333333333
2014-03-20,277.4575
2014-03-21,278.16041666666666
2014-03-22,277.90083333333337
2014-03-23,280.38
2014-03-24,281.64625000000007
2014-03-25,285.10333333333335
2014-03-26,281.0804166666667
